value,count
Irrigated rice,1841
Drains,348
Irrigated Rice,276
"Irrigated rice ,Drains",168
irrigated rice,156
"irrigated rice, intercrop water drains",108
"intercrop water drains, irrigated rice",96
"intercrop water drains, Mining pits",92
"Drains, Ditches",72
"INTERCROPS WATER, HILLS WATER",64
"Irrigeted tea, INTERCROPS WATER, HILLS WATER",60
"Irrigated rice,puddle",48
"Irrigated rice, mining pits",44
intercrop water drains,42
irrigated rice & Water in brick pits,36
Irrigated Rice and Maize,36
Irrigated Maize and Irish Potatoes,36
"intercrop water drains, Rice swamp",12
Irrigated TEA,12
