source_id,source_name,local_path,use_now,model_use,limitation,file_count,total_size_mb
nasa_power,NASA POWER Daily Climate,data/external/nasa_power,yes,"daily district climate signal: rainfall, temperature, humidity",district-centroid weather proxy until official site GPS and visit dates are confirmed,31,2.02
gbif,GBIF / VectorBase mosquito occurrences,data/external/gbif,yes,independent historical mosquito occurrence evidence and species context,"presence-only, heterogeneous methods, not a replacement for PI surveillance data",3,1.36
boundaries,Rwanda administrative boundaries,data/external/boundaries,yes,"national, province, and district mapping layers",needs authoritative version control for official reporting,3,11.57
era5_land,ERA5-Land reanalysis,data/external/era5_land,partial,national gridded climate validation and alternative climate baseline,only a January 2021 test summary is currently processed,2,1.28
chirps,CHIRPS rainfall,data/external/climate/chirps_daily,partial,"high-resolution rainfall history, anomalies, seasonality, and wetness context",sample daily GeoTIFFs downloaded; full study period and Rwanda clipping/extraction still needed,31,284.12
worldclim,WorldClim baseline climatology,data/external/worldclim,ready_for_geospatial_extraction,long-term temperature and precipitation covariates at site or district scale,requires raster extraction dependencies for site/district statistics,6,187.64
worldclim_cmip6,WorldClim CMIP6 future climate projections,data/external/worldclim_cmip6,not_downloaded_yet,"SSP126, SSP245, SSP370, and SSP585 scenario projections for future suitability","choose GCMs, time periods, variables, and download manageable Rwanda subsets",0,0.0
elevation,WorldClim elevation,data/external/elevation,ready_for_geospatial_extraction,altitude covariate for mosquito ecology and temperature gradients,requires raster extraction at official site coordinates,2,33.67
landcover,ESA WorldCover land cover,data/external/landcover,ready_for_geospatial_extraction,"cropland, built-up, water, wetland, and vegetation context",requires raster extraction and harmonized site buffers,2,192.44
population,WorldPop population raster,data/external/population,ready_for_geospatial_extraction,population-at-risk denominator and prioritization context,requires raster zonal statistics and health catchment definitions,1,11.25
osm,OpenStreetMap Rwanda extracts,data/external/osm,ready_for_geospatial_extraction,"roads, water bodies, settlements, agriculture and accessibility context",requires feature extraction and QA of volunteered geographic information,1,180.28
who_hdx_rwanda,WHO / HDX Rwanda health indicators,data/external/resistance_context/who_hdx,yes_context_only,"national health, febrile illness, environment, WASH, and health-system context indicators","background context only; does not replace RBC/MoH approved arboviral cases, vector assays, or intervention data",9,14.82
great_lakes_nasa_power,NASA POWER Great Lakes climate points,data/external/climate/nasa_power,yes,"regional rainfall, temperature, and humidity for Kigali, Goma, Bukavu, Kampala, Bujumbura, Mwanza, and Kisumu","regional dashboard points only; not lecturer sentinel-site GPS",7,1.0
great_lakes_gbif_vectors,GBIF Great Lakes vector occurrences,data/external/vector_occurrence/gbif,yes_context_only,"Aedes, Culex, and Anopheles public vector-occurrence context for arboviral preparedness","presence-only and reporting-biased; not project surveillance data",5,1.0
arboviral_context_tables,Processed arboviral context tables,data/processed/context,yes,"disease profiles, readiness layers, regional climate summaries, and vector occurrence summaries","preparedness context only; not confirmed outbreak prediction",5,1.0
jrc_surface_water,JRC Global Surface Water,data/external/surface_water/jrc,planned,"surface water occurrence, seasonality, recurrence, and maximum extent for breeding-environment context","requires Google Earth Engine export; not blocking MVP",0,0.0
nisr_context,NISR official Rwanda statistics,formal_source,planned_context,"official population, socioeconomic, administrative, and geospatial context","use through official portals/APIs when easy; not blocking 20-day MVP",0,0.0
rbc_moh_arboviral,RBC/MoH arboviral and febrile illness data,formal_source,formal_access_required,"confirmed/suspected arboviral cases, febrile illness, lab confirmation, and response data","requires formal approval and data-sharing agreement; no fake case dashboard",0,0.0
